"date","time","location","bytes","request_ip","method","host","uri","status","referrer","user_agent","query_string","cookie","result_type","request_id","host_header","request_protocol","request_bytes","time_taken","xforwarded_for","ssl_protocol","ssl_cipher","response_result_type","http_version","fle_status","fle_encrypted_fields","c_port","time_to_first_byte","x_edge_detailed_result_type","sc_content_type","sc_content_len","sc_range_start","sc_range_end"
"2022-02-01","05:11:22","LAX50-C1","114352","54.227.201.181","GET","d1wndwkcgt1a74.cloudfront.net","/elm.js","200","https://psolar.mx/contacto/","Mozilla/5.0%20(X11;%20Linux%20x86_64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/94.0.4606.81%20Safari/537.36","-","-","Hit","gj6xOuJUKk84ugw3nuj_mbymQj8cn72kJKXmlEVhNCVbONE5L6cKvw==","psolar.mx","https","45","0.006","-","TLSv1.3","TLS_AES_128_GCM_SHA256","Hit","HTTP/2.0","-",,"55698","0.001","Hit","application/javascript","113904",,
"2022-02-02","00:21:21","LAX50-C1","19768","103.147.185.14","GET","d1wndwkcgt1a74.cloudfront.net","/","200","-","Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/79.0%20Safari/537.36","-","-","Hit","Sm5kywjBjxovrg6KxxwsX30qSZxX7lJ1WWYiv9_-9zLT3jfmccydXA==","psolar.mx","https","302","0.034","-","TLSv1.2","ECDHE-RSA-AES128-GCM-SHA256","Hit","HTTP/1.1","-",,"53965","0.034","Hit","text/html","19326",,
"2022-02-02","00:21:21","LAX50-C1","19770","103.147.185.14","GET","d1wndwkcgt1a74.cloudfront.net","//wp-includes/wlwmanifest.xml","200","-","Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/79.0%20Safari/537.36","-","-","Error","Umzq34TKIhYnglX-jNXVCzes6f4b5_vR-TNaPhuvVJYywPsxQHJXTg==","psolar.mx","https","330","0.257","-","TLSv1.2","ECDHE-RSA-AES128-GCM-SHA256","Error","HTTP/1.1","-",,"53965","0.257","Error","text/html","19326",,
"2022-02-05","08:47:03","LAX50-C1","655","189.212.121.75","GET","d1wndwkcgt1a74.cloudfront.net","/index.js","200","https://psolar.mx/","Mozilla/5.0%20(X11;%20Linux%20x86_64;%20rv:96.0)%20Gecko/20100101%20Firefox/96.0","-","-","Hit","1sb6LLEzk5WcWwHSP-5X9f_J7hS5wkWXvqhffsPt1o3ypqjmX6yfIw==","psolar.mx","https","36","0.038","-","TLSv1.3","TLS_AES_128_GCM_SHA256","Hit","HTTP/2.0","-",,"37524","0.038","Hit","application/javascript","336",,
"2022-02-05","08:47:02","LAX50-C1","575","189.212.121.75","GET","d1wndwkcgt1a74.cloudfront.net","/","301","-","Mozilla/5.0%20(X11;%20Linux%20x86_64;%20rv:96.0)%20Gecko/20100101%20Firefox/96.0","-","-","Redirect","ziz8LppDRDNbSKzR9_QlwpB39LFJZilCC45rCh89jaMkylxsbwWUkQ==","psolar.mx","http","339","0.0","-","-","-","Redirect","HTTP/1.1","-",,"38860","0.0","Redirect","text/html","183",,
"2022-02-04","18:37:56","LAX50-C1","114369","89.248.171.23","GET","d1wndwkcgt1a74.cloudfront.net","/elm.js","200","https://psolar.mx/","Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/89.0.4389.90%20Safari/537.36","-","-","Miss","TBqb_P58jKDQt0tmq_-N3Y9PMMmuxKR-PdFw7NEO59wYxkDecpoF7w==","psolar.mx","https","71","0.353","-","TLSv1.3","TLS_AES_128_GCM_SHA256","Miss","HTTP/2.0","-",,"36612","0.169","Miss","application/javascript","113904",,
"2022-02-04","18:38:09","LAX50-C1","899","168.119.212.143","GET","d1wndwkcgt1a74.cloudfront.net","/favicon-16x16.png","200","https://psolar.mx/","Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/89.0.4389.90%20Safari/537.36","-","-","Miss","jlbwQUzqYqfDiCHdRwYlSxAlCaKyKyyifCDmhhOes4yPd_yCkKyi5A==","psolar.mx","https","397","0.19","-","TLSv1.3","TLS_AES_128_GCM_SHA256","Miss","HTTP/1.1","-",,"65280","0.19","Miss","image/png","470",,
"2022-02-01","03:34:16","LAX3-C3","574","167.114.101.143","GET","d1wndwkcgt1a74.cloudfront.net","/","301","-","Mozilla/5.0%20(compatible;%20MJ12bot/v1.4.8;%20http://mj12bot.com/)","-","-","Redirect","VgrtmN2FZnzhAJGWmWocQ19zxk7yx7eyjA3VCD64yNyHApIPwzF2sA==","psolar.mx","http","360","0.0","-","-","-","Redirect","HTTP/1.1","-",,"54060","0.0","Redirect","text/html","183",,
"2022-02-01","03:34:20","LAX3-C3","19756","167.114.101.143","GET","d1wndwkcgt1a74.cloudfront.net","/","200","-","Mozilla/5.0%20(compatible;%20MJ12bot/v1.4.8;%20http://mj12bot.com/)","-","-","Miss","9Iwloz0rEQhtWHXgUhGvgRhnjMElH2ggL-gktj4O175XcUxmXwkuRA==","psolar.mx","https","360","0.199","-","TLSv1.2","ECDHE-RSA-AES128-GCM-SHA256","Miss","HTTP/1.1","-",,"40620","0.148","Miss","text/html","19326",,
"2022-02-01","03:34:10","LAX3-C3","19757","167.114.101.143","GET","d1wndwkcgt1a74.cloudfront.net","/robots.txt","200","-","Mozilla/5.0%20(compatible;%20MJ12bot/v1.4.8;%20http://mj12bot.com/)","-","-","Error","yYwk1nR1V3c3lluwdaSeH7zFVPfIaInetaeWkvIwLxtCVfXTO-x0Pg==","psolar.mx","https","157","0.349","-","TLSv1.2","ECDHE-RSA-AES128-GCM-SHA256","Error","HTTP/1.1","-",,"40620","0.349","Error","text/html","19326",,
"2022-02-02","07:06:21","LAX3-C3","19763","18.225.35.178","GET","d1wndwkcgt1a74.cloudfront.net","/","200","-","Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/85.0.4183.102%20Safari/537.36","-","-","Hit","6ZmGuKB6oEMNB3X64P-JForaPh7oZY1aMJx3YcYnLE-XeDC51x-TJg==","psolar.mx","https","233","0.002","-","TLSv1.3","TLS_AES_128_GCM_SHA256","Hit","HTTP/1.1","-",,"58797","0.001","Hit","text/html","19326",,
"2022-02-02","07:07:03","LAX3-C3","19764","18.225.35.178","GET","d1wndwkcgt1a74.cloudfront.net","/","200","-","Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/85.0.4183.102%20Safari/537.36","-","-","Hit","4bH4WMftvX0-6GTLRIKc_jOBOir7jL535t3N8GySAa0tWcuFZ1SgUg==","psolar.mx","https","233","0.002","-","TLSv1.3","TLS_AES_128_GCM_SHA256","Hit","HTTP/1.1","-",,"58941","0.002","Hit","text/html","19326",,
