,,dac,dac,1c,1c,1c,1c,1c,1c,1c,1c,1e,1e,1e,1e,1e,1e,1e,1e,PDBT,PDBT,,,,,
,,fijo,var,dac,b,b,i1,i1,i2,i2,i3,dac,b,b,i1,i1,i2,i2,i3,fijo,var,,,,,
,,p,p,lim,p,s,p,s,p,s,p,lim,p,s,p,s,p,s,p,p,p,,,,,
mes,días,dacfijop,dacvarp,1cdaclim,1cbp,1cbs,1ci1p,1ci1s,1ci2p,1ci2s,1ci3p,1edaclim,1ebp,1ebs,1ei1p,1ei1s,1ei2p,1ei2s,1ei3p,PDBTfijop,PDBTvarp,,,,,
201301,31,79.3,3.397,850,0.759,75,0.927,100,2.709,0,0,2000,0.759,75,0.927,125,2.709,0,,,,,,,,
201302,28,79.05,3.331,850,0.761,75,0.93,100,2.718,0,0,2000,0.761,75,0.93,125,2.718,0,,,,,,,,
201303,31,78.8,3.309,850,0.763,75,0.933,100,2.727,0,0,2000,0.763,75,0.933,125,2.727,0,,,,,,,,
201304,30,78.85,3.34,850,0.685,150,0.796,150,1.028,150,2.736,2000,0.765,75,0.936,125,2.736,0,,,,,,,,
201305,31,78.63,3.432,850,0.697,150,0.799,150,1.031,150,2.745,2000,0.569,300,0.718,450,0.93,150,2.745,,,,,,,
201306,30,77.95,3.395,850,0.689,150,0.802,150,1.034,150,2.754,2000,0.571,300,0.72,450,0.933,150,2.754,,,,,,,
201307,31,77.74,3.355,850,0.691,150,0.805,150,1.037,150,2.763,2000,0.573,300,0.722,450,0.936,150,2.763,,,,,,,
201308,31,78.55,3.377,850,0.693,150,0.808,150,1.04,150,2.772,2000,0.575,300,0.724,450,0.939,150,2.772,,,,,,,
201309,30,78.22,3.342,850,0.695,150,0.811,150,1.043,150,2.781,2000,0.577,300,0.726,450,0.942,150,2.781,,,,,,,
201310,31,78.13,3.42,850,0.783,75,0.954,100,2.79,0,0,2000,0.579,300,0.728,450,0.945,150,2.79,,,,,,,
201311,30,78.67,3.457,850,0.786,75,0.957,100,2.799,0,0,2000,0.786,75,0.957,125,2.799,0,,,,,,,,
201312,31,78.48,3.475,850,0.789,75,0.96,100,2.808,0,0,2000,0.789,75,0.96,125,2.808,0,,,,,,,,
201401,31,78.43,3.489,850,0.792,75,0.963,100,2.817,0,0,2000,0.792,75,0.963,125,2.817,0,,,,,,,,
201402,28,78.4,3.522,850,0.795,75,0.966,100,2.826,0,0,2000,0.795,75,0.966,125,2.826,0,,,,,,,,
201403,31,79.25,3.477,850,0.798,75,0.969,100,2.835,0,0,2000,0.798,75,0.969,125,2.835,0,,,,,,,,
201404,30,79.88,3.498,850,0.709,150,0.832,150,1.064,150,2.844,2000,0.801,75,0.972,125,2.844,0,,,,,,,,
201405,31,79.98,3.464,850,0.711,150,0.835,150,1.067,150,2.853,2000,0.593,300,0.742,450,0.966,150,2.853,,,,,,,
